old,new,old_masked,new_masked,label,donor_naturalness_score,style_naturalness_score,naturalness_delta
" stepped back a bit, as if admiring it, and his feminine heel trod on somebody’s foot.  “Splendid picture,” he exclaimed with genuine sincerity. “Well, let’s not be petty about this. You were right, and there must be an error in the catalogue.”  As he spoke, his fingers, moving as it were on their own, tore up our agreement into little bits which fell like snowflakes into a massive spittoon.  “Who’s the old ape?” asked an individual in a striped jersey, and, as my friend’s grandfather was depicted holding a glowing cigar, another funster took out a cigarette and prepared to borrow a light","stepped back a bit, with a sigh, and his feminine heel trod on somebody ’ s foot. “Splendid picture, ” she said, with the charming smile that is characteristic in her. Indeed, let ’ s not be petty about this. ” “I believe you are right, and there must be an error in the catalogue. ” As he spoke, his fingers, moving morosely, tore up our agreement into little bits which fell like snowflakes into a massive spittoon. “Who ’ s the old ape? ” asked an individual in a striped jersey. “in the first place, as my friend ’ s grandfather was depicted holding a glowing cigar, ‘ I am a smoker ’; and then, ” continued he, “whilst holding this unlovely object"," stepped back a bit, as if admiring it, and his feminine heel trod on somebody ’ s foot. “ Splendid picture, ” he exclaimed with genuine sincerity. “ Well, let ’ s not be petty about this. You were right, and there must be an error in the catalogue. ” As he spoke, his fingers, moving as it were on their own, tore up our agreement into little bits which fell like snowflakes into a massive spittoon. “ Who ’ s the old ape? ” asked an individual in a striped jersey, and, as my friend ’ s grandfather was depicted holding a glowing cigar, another funster took out a cigarette and prepared to borrow a light"," stepped back a bit, with a sigh, and his feminine heel trod on somebody ’ s foot. “ Splendid picture, ” she said, with the charming smile that is characteristic in her. Indeed, let ’ s not be petty about this. ” “ I believe you are right, and there must be an error in the catalogue. ” As he spoke, his fingers, moving morosely, tore up our agreement into little bits which fell like snowflakes into a massive spittoon. “ Who ’ s the old ape? ” asked an individual in a striped jersey. “ in the first place, as my friend ’ s grandfather was depicted holding a glowing cigar, ‘ I am a smoker ’; and then, ” continued he, “ whilst holding this unlovely object",N2D,0.99005187,0.8771428,0.11290908
" Pal Palych! How’re they biting?” He looked upward, and gave me a nice, homey kind of wave.  A bat darted above the rose-colored mirror surface. The reflection of the foliage looked like black lace. Pal Palych, from afar, was shouting something, beckoning with his hand. A second Pal Palych quivered in the black ripples. Laughing aloud, I pushed away from the handrail.  I passed the isbas in one soundless sweep along the firmly packed path. Mooing sounds floated past through the lusterless air; some skittles flew up with a clatter. Then, farther along, on the highway, in the vastness of the","Pal Palych! How ’ re they biting? ” He looked round him, for the birds had already chirped, homey kind of wave. A bat darted above the rose-colored mirror surface. More white than black, and rising above the rest of the foliage. “‘Sblood, ” crowed the financier, was shouting something, unknown to his lips. The financier in the midst of this white mass. Laughing aloud, I pushed away from the handrail. On my way, I passed close to the casement, and looked in every direction. Mooing sounds floated past through the lusterless air; some skittles flew up with a clatter. Then, farther along, on the highway, in the vastness of the"," Pal Palych! How ’ re they biting? ” He looked upward, and gave me a nice, homey kind of wave. A bat darted above the rose-colored mirror surface. The reflection of the foliage looked like black lace. Pal <MASK>, from afar, was shouting something, beckoning with his hand. A second Pal <MASK> quivered in the black ripples. Laughing aloud, I pushed away from the handrail. I passed the isbas in one soundless sweep along the firmly packed path. Mooing sounds floated past through the lusterless air; some skittles flew up with a clatter. Then, farther along, on the highway, in the vastness of the"," Pal Palych! How ’ re they biting? ” He looked round him, for the birds had already chirped, homey kind of wave. A bat darted above the rose-colored mirror surface. More white than black, and rising above the rest of the foliage. “ ‘ Sblood, ” crowed the financier, was shouting something, unknown to his lips. The financier in the midst of this white mass. Laughing aloud, I pushed away from the handrail. On my way, I passed close to the casement, and looked in every direction. Mooing sounds floated past through the lusterless air; some skittles flew up with a clatter. Then, farther along, on the highway, in the vastness of the",N2D,0.9601774,0.98610616,-0.025928736
" but at least it revealed a small balcony one story lower on which on three consecutive afternoons at the siesta hour he had watched the spread-eagled barmaid sunning herself on a towel. The floor of the balcony was darkly damp. It might dry in time for her siesta if the sun came out before noon. “By this evening it will all be over,” he reflected mechanically and was unable to imagine either that evening or the following day, as one is unable to imagine eternity.  Gritting his teeth he pulled on his clammy bathing trunks. The pockets of his robe were full of sand. He softly closed the door","but at least it revealed a small balcony, and that it was only two stories high afternoons at the siesta hour he had watched the spread-eagled barmaid sunning herself on a towel. The window of the third floor was shutters, and the still greater point of the balcony. It might dry in time for her siesta if the sun came out before noon. “But to-morrow over, ” he reflected mechanically and was unable to imagine either that evening or the following day, and could therefore only wish for an hour to pass away. He awoke next morning, pale and agitated bathing trunks. He felt about in his pockets the diamond and the pearls, and in his bosom. He examined the bed"," but at least it revealed a small balcony one story lower on which on three consecutive afternoons at the siesta hour he had watched the spread-eagled barmaid sunning herself on a towel. The floor of the balcony was darkly damp. It might dry in time for her siesta if the sun came out before noon. “ By this evening it will all be over, ” he reflected mechanically and was unable to imagine either that evening or the following day, as one is unable to imagine eternity. Gritting his teeth he pulled on his clammy bathing trunks. The pockets of his robe were full of sand. He softly closed the door"," but at least it revealed a small balcony, and that it was only two stories high afternoons at the siesta hour he had watched the spread-eagled barmaid sunning herself on a towel. The window of the third floor was shutters, and the still greater point of the balcony. It might dry in time for her siesta if the sun came out before noon. “ But to-morrow over, ” he reflected mechanically and was unable to imagine either that evening or the following day, and could therefore only wish for an hour to pass away. He awoke next morning, pale and agitated bathing trunks. He felt about in his pockets the diamond and the pearls, and in his bosom. He examined the bed",N2D,0.98626405,0.99150634,-0.005242288
" had not been placed together, told the waiter to do this immediately and ordered tea and a pony of brandy. The room was clean and brightly lit, with a still life on the wall representing plump peaches around a watermelon minus one wedge. A clean tablecloth ballooned gently and settled over the connected tables.  He put a lump of sugar in his tea and watching the bubbles rise, warmed his bloodless, always cold hands on the glass. Nearby in the bar a violin and piano were playing selections from La Traviata — and the sweet music, the brandy, the whiteness of the clean tablecloth — all this","had not been placed together, told the waiter to do this immediately and ordered tea and a pony of brandy. The room was so tidy, that D’Artagnan was surprised at finding it brightly lit, the walls covered with wax-paper, and photographs plump peaches around a watermelon minus one wedge. A clean tablecloth ballooned gently and steadily, so that between the well-formed table and the jasmine-tree. He put a lump of sugar in his tea and watching the bubbles rise, warmed his bloodless, always cold hands on the glass. Nearby in the bar a violin and a piano with strings orchestra, which played the duets with such perfect sweetness, and with such overwhelming music, the brandy, the whiteness of the clean tablecloth — all this"," had not been placed together, told the waiter to do this immediately and ordered tea and a pony of brandy. The room was clean and brightly lit, with a still life on the wall representing plump peaches around a watermelon minus one wedge. A clean tablecloth ballooned gently and settled over the connected tables. He put a lump of sugar in his tea and watching the bubbles rise, warmed his bloodless, always cold hands on the glass. Nearby in the bar a violin and piano were playing selections from La Traviata — and the sweet music, the brandy, the whiteness of the clean tablecloth — all this"," had not been placed together, told the waiter to do this immediately and ordered tea and a pony of brandy. The room was so tidy, that D ’ <MASK> was surprised at finding it brightly lit, the walls covered with wax-paper, and photographs plump peaches around a watermelon minus one wedge. A clean tablecloth ballooned gently and steadily, so that between the well-formed table and the jasmine-tree. He put a lump of sugar in his tea and watching the bubbles rise, warmed his bloodless, always cold hands on the glass. Nearby in the bar a violin and a piano with strings orchestra, which played the duets with such perfect sweetness, and with such overwhelming music, the brandy, the whiteness of the clean tablecloth — all this",N2D,0.9593023,0.98641825,-0.027115941
" not a Portrait of Lolita: the differences between the two are clearly greater than the similarities. Whether or not the later novel is a love affair between the author and the English language, a love affair between Europe and America, a jaundiced view of the motel scene and the surrounding landscape, a modern-day “free translation of Onegin” (these and a multitude of other hypotheses have been advanced, eagerly but with varying degrees of seriousness and credibility), Lolita is unquestionably the product of very new and different artistic stimuli.  On the premise that it is preferable to be","not a Portrait of Lolita: the differences between the two, however, must be greater than the similarities. Whether or not the later novel is a serious affair, the author has, in one sense the English language, a love affair between Europe and America, a jaundiced view of the motel, of the beautiful town, a modern-day “free translation of Onegin ”; all the patters and preliminaries of each are found in the former have been advanced, eagerly but with varying degrees of seriousness and discredit, Lolita is unquestionably the product of very new and different artistic stimuli. The result is that, according to the prevailing ideas"," not a Portrait of <MASK>: the differences between the two are clearly greater than the similarities. Whether or not the later novel is a love affair between the author and the English language, a love affair between Europe and America, a jaundiced view of the motel scene and the surrounding landscape, a modern-day “ free translation of Onegin ”( these and a multitude of other hypotheses have been advanced, eagerly but with varying degrees of seriousness and credibility), <MASK> is unquestionably the product of very new and different artistic stimuli. On the premise that it is preferable to be"," not a Portrait of <MASK>: the differences between the two, however, must be greater than the similarities. Whether or not the later novel is a serious affair, the author has, in one sense the English language, a love affair between Europe and America, a jaundiced view of the motel, of the beautiful town, a modern-day “ free translation of Onegin ”; all the patters and preliminaries of each are found in the former have been advanced, eagerly but with varying degrees of seriousness and discredit, <MASK> is unquestionably the product of very new and different artistic stimuli. The result is that, according to the prevailing ideas",N2D,0.9722109,0.9939637,-0.021752834
" his right, the way Anglo-Saxons do in cartoons. He procured a coin in the palm of his hand and, as he handed it to the woman vendor, said something that made her laugh. Berg laughed too. He stood with legs slightly spread. He was wearing a gray flannel suit.  “Let’s go around that booth,” said Mityushin. “It would be awkward passing right next to him.”  A strange numbness came over Anton Petrovich. Totally unconscious of what he was doing, he boarded the coach, took a window seat, removed his hat, donned it again. Only when the train jerked and began to move did his brain start working","his right, the way Anglo-Saxons do in cartoons. He procured a coin in the palm of his hand, and, as he handed it to the woman vendor, she, with a laugh, said, “Throw that in your face. ” M Bonacieux was not a man to laugh too loudly. He shifted his weight from one hand to the other. He was very uneasy as to the state of his wardrobe. “Let ’ s go around that booth, ” said Bonacieux. “It would be awkward passing right next to him. ” A strange numbness came over Anton Petrovich. This forgetfulness of bodily self-respect made him turn his back almost indeed, and walk erectly the whole time he was in the coach, looking from the door to the window, “and I am very sure that if he had left his hat in the coach-carriage, ‘ twill have been a far more amusing opportunity than this one. Only when the train jerked and turned, how his brain did so"," his right, the way Anglo-Saxons do in cartoons. He procured a coin in the palm of his hand and, as he handed it to the woman vendor, said something that made her laugh. <MASK> laughed too. He stood with legs slightly spread. He was wearing a gray flannel suit. “ Let ’ s go around that booth, ” said <MASK>. “ It would be awkward passing right next to him. ” A strange numbness came over <MASK> <MASK>. Totally unconscious of what he was doing, he boarded the coach, took a window seat, removed his hat, donned it again. Only when the train jerked and began to move did his brain start working"," his right, the way Anglo-Saxons do in cartoons. He procured a coin in the palm of his hand, and, as he handed it to the woman vendor, she, with a laugh, said, “ Throw that in your face. ” M <MASK> was not a man to laugh too loudly. He shifted his weight from one hand to the other. He was very uneasy as to the state of his wardrobe. “ Let ’ s go around that booth, ” said <MASK>. “ It would be awkward passing right next to him. ” A strange numbness came over <MASK> <MASK>. This forgetfulness of bodily self-respect made him turn his back almost indeed, and walk erectly the whole time he was in the coach, looking from the door to the window, “ and I am very sure that if he had left his hat in the coach-carriage, ‘ twill have been a far more amusing opportunity than this one. Only when the train jerked and turned, how his brain did so",N2D,0.99291027,0.99431366,-0.0014033914
" in a gigantic, joyous world. A tall pillar on the corner is tightly swathed in wet canvases, across which a paintbrush has scattered colored whirlwinds. The old woman who sells papers has curling gray hairs on her chin, and mad light-blue eyes. Unruly newspapers stick chaotically out of her pouch. Their large type makes me think of flying zebras.  A bus stops at its signpost. Upstairs the conductor ba-bangs with his palm on the iron gunwale. The helmsman gives his huge wheel a mighty turn. A mounting, labored moan, a brief grinding sound. The wide tires have left silver imprints on the","in a gigantic, joyous world. The king walked rapidly down the staircase, passed through the footstaircase swathed in wet canvases, across which a paintbrush has scattered colored whirlwinds. The old woman who sells papers has curling ly, with her long and gray hair, and whose eyes, for a moment. Unruly newspapers stick chaotically out of her pouch. Their large type makes me think of flying zebras. A bus stops at its signpost. Upstairs the conductor ba-bangs with his palm on the iron trellis. The trembling carriage wheels pass and stop, immortal. A mounting, labored moan, the dull noise of a heavy step. The tires of the ruts in the roadside ditches"," in a gigantic, joyous world. A tall pillar on the corner is tightly swathed in wet canvases, across which a paintbrush has scattered colored whirlwinds. The old woman who sells papers has curling gray hairs on her chin, and mad light-blue eyes. Unruly newspapers stick chaotically out of her pouch. Their large type makes me think of flying zebras. A bus stops at its signpost. Upstairs the conductor ba-bangs with his palm on the iron gunwale. The helmsman gives his huge wheel a mighty turn. A mounting, labored moan, a brief grinding sound. The wide tires have left silver imprints on the"," in a gigantic, joyous world. The king walked rapidly down the staircase, passed through the footstaircase swathed in wet canvases, across which a paintbrush has scattered colored whirlwinds. The old woman who sells papers has curling ly, with her long and gray hair, and whose eyes, for a moment. Unruly newspapers stick chaotically out of her pouch. Their large type makes me think of flying zebras. A bus stops at its signpost. Upstairs the conductor ba-bangs with his palm on the iron trellis. The trembling carriage wheels pass and stop, immortal. A mounting, labored moan, the dull noise of a heavy step. The tires of the ruts in the roadside ditches",N2D,0.97587585,0.9685096,0.00736624
" traversed by the black bend-let of a branch. And sometimes Sybil Shade would trip by with the velocity and swinging arms of one flouncing out in a fit of temper, and would return a little later, at a much slower gait, having, as it were, pardoned her husband for his friendship with an eccentric neighbor; but the riddle of her behavior was entirely solved one night when by dialing their number and watching their window at the same time I magically induced her to go through the hasty and quite innocent motions that had puzzled me.  Alas, my peace of mind was soon to be shattered. The","traversed by the black bend-let of a branch. And sometimes Sybil Shade would trip by with the velocity and swinging arms of one flouncing out in a fit of temper, and would return a little later, at a much slower gait, and with a little more difficulty, that of the present, in order to rejoin the king, her husband, or mistress eccentric neighbor; and when she was thus pursued, she was, as may have been observed solved one night when by dialing their number and watching their window at the same time I magically induced her to make a little public evasion; and she came, no doubt, under some pretext or other, which I cannot now precisely remember. As my inquiries had been in vain, in the midst of my troubles. The"," traversed by the black bend-let of a branch. And sometimes <MASK> <MASK> would trip by with the velocity and swinging arms of one flouncing out in a fit of temper, and would return a little later, at a much slower gait, having, as it were, pardoned her husband for his friendship with an eccentric neighbor; but the riddle of her behavior was entirely solved one night when by dialing their number and watching their window at the same time I magically induced her to go through the hasty and quite innocent motions that had puzzled me. Alas, my peace of mind was soon to be shattered. The"," traversed by the black bend-let of a branch. And sometimes <MASK> <MASK> would trip by with the velocity and swinging arms of one flouncing out in a fit of temper, and would return a little later, at a much slower gait, and with a little more difficulty, that of the present, in order to rejoin the king, her husband, or mistress eccentric neighbor; and when she was thus pursued, she was, as may have been observed solved one night when by dialing their number and watching their window at the same time I magically induced her to make a little public evasion; and she came, no doubt, under some pretext or other, which I can not now precisely remember. As my inquiries had been in vain, in the midst of my troubles. The",N2D,0.8979029,0.8979029,0.0
" cross the frontier. One of the Cabinet Ministers whose identity is not certain was executed on the spot, but (he subdued his voice as he named the former President of the State)... was brought back and imprisoned.'  'No, no,' said Yanovsky, 'not Me Nisters. He all alone. Like King Lear.'  'Yes, this will do nicely,' said Dr Azureus with sincere satisfaction to Dr Alexander who had shifted some of the chairs and had brought in a few more, so that by magic the room had assumed the necessary poise.  The cat slid down from the piano and slowly walked out, on the way brushing for one mad","cross the frontier. One of the Cabinet Ministers whose identity is certainty took the order for the execution of which he was commissioned to carry, and the king, hearing a metallic voice at the door of his room named the former President of the State)... was brought back and imprisoned. 'C'mon, ” said D ’ Artagnan. He all alone. Like King Lear.' “That is well,'said Dr Azureus with sincere satisfaction to Dr Fragonon, ” said the musketeer, seated at his table and had brought in a few more, so that by magic the room had assumed the necessary poise. The cat slid down from the piano and slowly walked out, on the way brushing for one mad"," cross the frontier. One of the Cabinet Ministers whose identity is not certain was executed on the spot, but( he subdued his voice as he named the former President of the State) ... was brought back and imprisoned.' 'No, no,' said <MASK>, 'not Me Nisters. He all alone. Like King <MASK>.' 'Yes, this will do nicely,' said Dr <MASK> with sincere satisfaction to Dr <MASK> who had shifted some of the chairs and had brought in a few more, so that by magic the room had assumed the necessary poise. The cat slid down from the piano and slowly walked out, on the way brushing for one mad"," cross the frontier. One of the Cabinet Ministers whose identity is certainty took the order for the execution of which he was commissioned to carry, and the king, hearing a metallic voice at the door of his room named the former President of the State) ... was brought back and imprisoned. 'C'mon, ” said D ’ <MASK>. He all alone. Like King <MASK>.' “ That is well, 'said Dr <MASK> with sincere satisfaction to Dr <MASK>, ” said the musketeer, seated at his table and had brought in a few more, so that by magic the room had assumed the necessary poise. The cat slid down from the piano and slowly walked out, on the way brushing for one mad",N2D,0.9677262,0.88405526,0.083670914
" lawn, but within my thorax, and my organs swam in it like excrements in the blue sea water in Nice. One of the bathers had left the pool and, half-concealed by the peacocked shade of trees, stood quite still, holding the ends of the towel around his neck and following Lolita with his amber eyes. There he stood, in the camouflage of sun and shade, disfigured by them and masked by his own nakedness, his damp black hair or what was left of it, glued to his round head, his little mustache a humid smear, the wool on his chest spread like a symmetrical trophy, his naval pulsating, his hirsute","lawn, but within my thorax, and my legs stiffened, I swam in the water, a little in the water. ” “Do not swam in the water and, half-concealed by the peacocked shade of the water, I saw myself, amid the trees, rising, holding the ends of the towel around his neck and following Lolita with his amber eyes. ” He paused, in the camouflage of sun and shade, disfigured by them and masked by his own nakedness, he appeared, so pale and shaded by the moist brown curtains of the window, “Lolita’s mine, glued to his round head, with a handkerchief to keep his face moist, ” continued the comte, the wool on his chest spread like a symmetrical trophy, his naval pulsating, his hirsute"," lawn, but within my thorax, and my organs swam in it like excrements in the blue sea water in Nice. One of the bathers had left the pool and, half-concealed by the peacocked shade of trees, stood quite still, holding the ends of the towel around his neck and following <MASK> with his amber eyes. There he stood, in the camouflage of sun and shade, disfigured by them and masked by his own nakedness, his damp black hair or what was left of it, glued to his round head, his little mustache a humid smear, the wool on his chest spread like a symmetrical trophy, his naval pulsating, his hirsute"," lawn, but within my thorax, and my legs stiffened, I swam in the water, a little in the water. ” “ Do not swam in the water and, half-concealed by the peacocked shade of the water, I saw myself, amid the trees, rising, holding the ends of the towel around his neck and following <MASK> with his amber eyes. ” He paused, in the camouflage of sun and shade, disfigured by them and masked by his own nakedness, he appeared, so pale and shaded by the moist brown curtains of the window, “ <MASK> ’ s mine, glued to his round head, with a handkerchief to keep his face moist, ” continued the <MASK>, the wool on his chest spread like a symmetrical trophy, his naval pulsating, his hirsute",N2D,0.94276994,0.8203911,0.122378826
" time it slipped off) while you stand with outspread arms to have your fur collar fastened; but in compensation for this, what an amusing change in acoustics, how rounded all sounds become when the collar is raised; and since we have touched upon ears, how unforgettable the silky, taut, buzzing music while the strings of your cap’s earflaps are being tied (raise your chin).  Merrily, to coin a phrase, youngsters romp on a frosty day. At the entrance to the public park we have the balloon vendor; above his head, three times his size, an enormous rustling cluster. Look, children, how they","time it slipped off) while you stand with outspread arms to have your fur collar fastened; but in compensation for this, what an amusing change in acoustics, how rounded all sounds become when the collar is on; and you hitherto have but one set of ears, how unforgettable the silky, velvety notes sound your cap ’ s earflaps are being tied, this time round, under your chin. Merrily, to coin a phrase, youngsters romp on a frosty day. At the entrance to the public park we have the balloon vendor; he has got his prestipity up on his own head, with a rather large balloon between his knees, an enormous rustling cluster. ’ ‘Ah, my dear children"," time it slipped off) while you stand with outspread arms to have your fur collar fastened; but in compensation for this, what an amusing change in acoustics, how rounded all sounds become when the collar is raised; and since we have touched upon ears, how unforgettable the silky, taut, buzzing music while the strings of your cap ’ s earflaps are being tied( raise your chin). Merrily, to coin a phrase, youngsters romp on a frosty day. At the entrance to the public park we have the balloon vendor; above his head, three times his size, an enormous rustling cluster. Look, children, how they"," time it slipped off) while you stand with outspread arms to have your fur collar fastened; but in compensation for this, what an amusing change in acoustics, how rounded all sounds become when the collar is on; and you hitherto have but one set of ears, how unforgettable the silky, velvety notes sound your cap ’ s earflaps are being tied, this time round, under your chin. Merrily, to coin a phrase, youngsters romp on a frosty day. At the entrance to the public park we have the balloon vendor; he has got his prestipity up on his own head, with a rather large balloon between his knees, an enormous rustling cluster. ’ ‘ Ah, my dear children",N2D,0.9946457,0.9946457,0.0
" her finger on the switch—a half-interrogative, half-urging interjection which meant approximately: “Are you coming this way? I’m putting out the light here, so hurry up.” The dimple on her naked arm, pale-silk-clad legs in velvet slippers, lowered face. Darkness.  He went to bed and began to fall asleep to the whisper of the rain. As always on the border between consciousness and sleep all sorts of verbal rejects, sparkling and tinkling, broke in: “The crystal crunching of that Christian night beneath a chrysolitic star” … and his thought, listening for a moment, aspired to gather them","her finger on the switch—a half-interrogative, half-urging interjection which meant approximately: “Are you going to say, sir? I am getting cherry-whittered, so hurry up. ” The dimple on her face at this answer, pale-silk-clad legs in velvet slippers, and a frizzled face. Darkness. A sudden light streamed in from the window, and filled the room, and Catherine was startled at the noise the rain. As always on the border between consciousness and sleep all sorts of verbal rejects, sparkling and tinkling, broke in: “The crystal crunching of that star, the star of the firmament, the generous-hearted being, whom all things are now listening to me at this moment, whilst tomorrow night brings them to life"," her finger on the switch—a half-interrogative, half-urging interjection which meant approximately: “ Are you coming this way? I ’ m putting out the light here, so hurry up. ” The dimple on her naked arm, pale-silk-clad legs in velvet slippers, lowered face. Darkness. He went to bed and began to fall asleep to the whisper of the rain. As always on the border between consciousness and sleep all sorts of verbal rejects, sparkling and tinkling, broke in: “ The crystal crunching of that Christian night beneath a chrysolitic star ” … and his thought, listening for a moment, aspired to gather them"," her finger on the switch—a half-interrogative, half-urging interjection which meant approximately: “ Are you going to say, sir? I am getting cherry-whittered, so hurry up. ” The dimple on her face at this answer, pale-silk-clad legs in velvet slippers, and a frizzled face. Darkness. A sudden light streamed in from the window, and filled the room, and <MASK> was startled at the noise the rain. As always on the border between consciousness and sleep all sorts of verbal rejects, sparkling and tinkling, broke in: “ The crystal crunching of that star, the star of the firmament, the generous-hearted being, whom all things are now listening to me at this moment, whilst tomorrow night brings them to life",N2D,0.97993267,0.96213126,0.017801404
" of Jane Fairfax! The interest he takes in her--his anxiety about her health--his concern that she should have no happier prospect! I have heard him express himself so warmly on those points!--Such an admirer of her performance on the pianoforte, and of her voice! I have heard him say that he could listen to her for ever. Oh! and I had almost forgotten one idea that occurred to me--this pianoforte that has been sent here by somebody--though we have all been so well satisfied to consider it a present from the Campbells, may it not be from Mr. Knightley? I cannot help suspecting him. I think","of Jane Fairfax! The interest he takes in her -- his anxiety about her health -- his concern for her repasts--show that he expects, at least! if I manage to amuse him -- that is to say on those points! -- Such an admirer of her performance on the part of Jane Fallowance! A friend of her Eminence! How he is mistaken if he thinks that! If he is fond of her -- ” “You are very good. “Oh! I know that perfectly, and I now remember it, for I have thought of it- ” “I have given you ATHER! This is something! This is worth while! Come, come the Campbells, my dear, come! ” “Mr. Knightley? ” “I have just come from him. is there, I think"," of <MASK> <MASK>! The interest he takes in her -- his anxiety about her health -- his concern that she should have no happier prospect! I have heard him express himself so warmly on those points! -- Such an admirer of her performance on the pianoforte, and of her voice! I have heard him say that he could listen to her for ever. Oh! and I had almost forgotten one idea that occurred to me -- this pianoforte that has been sent here by somebody -- though we have all been so well satisfied to consider it a present from the Campbells, may it not be from Mr. <MASK>? I can not help suspecting him. I think"," of <MASK> <MASK>! The interest he takes in her -- his anxiety about her health -- his concern for her repasts -- show that he expects, at least! if I manage to amuse him -- that is to say on those points! -- Such an admirer of her performance on the part of <MASK> <MASK>! A friend of her Eminence! How he is mistaken if he thinks that! If he is fond of her -- ” “ You are very good. “ Oh! I know that perfectly, and I now remember it, for I have thought of it- ” “ I have given you <MASK>! This is something! This is worth while! Come, come the Campbells, my dear, come! ” “ Mr. <MASK>? ” “ I have just come from him. is there, I think",A2D1,0.9942548,0.99371815,0.0005366802
" sister. Two of her girls had been upon the point of marriage, and after all there was nothing in it.  “I do not blame Jane,” she continued, “for Jane would have got Mr. Bingley if she could. But Lizzy! Oh, sister! It is very hard to think that she might have been Mr. Collins's wife by this time, had it not been for her own perverseness. He made her an offer in this very room, and she refused him. The consequence of it is, that Lady Lucas will have a daughter married before I have, and that the Longbourn estate is just as much entailed as ever. The Lucases are very artful people indeed,","sister. Two of her girls had been upon the road, and informed of the marriage, and without thinking of it, had set out. “‘Twas not my fault, ” she remarked, “for Jane would have got Mr. out of the way whenever she could. “But, ” Jane ventured! “But, my dear little sister! it is some one else, surely? ” she continued, “or rather, that Mr. Baerle ’ s wife? ” “Oh, no, no, my good Malicorne; that it was no one else, indeed. Poor girl, that she is. She must have said something to him I must have done something to prevent him from leaving her. In the first place, however, that Lady Lucas will have a daughter married the third, I have, and that the Longbourn estate is just as perfectly enjoyed by a couple of dukely gentlemen a day. The Lucases are very artful people indeed,"," sister. Two of her girls had been upon the point of marriage, and after all there was nothing in it. “ I do not blame <MASK>, ” she continued, “ for <MASK> would have got Mr. <MASK> if she could. But <MASK>! Oh, sister! It is very hard to think that she might have been Mr. <MASK> 's wife by this time, had it not been for her own perverseness. He made her an offer in this very room, and she refused him. The consequence of it is, that <MASK> <MASK> will have a daughter married before I have, and that the Longbourn estate is just as much entailed as ever. The Lucases are very artful people indeed,"," sister. Two of her girls had been upon the road, and informed of the marriage, and without thinking of it, had set out. “ ‘ Twas not my fault, ” she remarked, “ for <MASK> would have got Mr. out of the way whenever she could. “ But, ” <MASK> ventured! “ But, my dear little sister! it is some one else, surely? ” she continued, “ or rather, that Mr. <MASK> ’ s wife? ” “ Oh, no, no, my good <MASK>; that it was no one else, indeed. Poor girl, that she is. She must have said something to him I must have done something to prevent him from leaving her. In the first place, however, that <MASK> <MASK> will have a daughter married the third, I have, and that the Longbourn estate is just as perfectly enjoyed by a couple of dukely gentlemen a day. The Lucases are very artful people indeed,",A2D1,0.90703887,0.97637326,-0.06933439
" of Jane Fairfax! The interest he takes in her--his anxiety about her health--his concern that she should have no happier prospect! I have heard him express himself so warmly on those points!--Such an admirer of her performance on the pianoforte, and of her voice! I have heard him say that he could listen to her for ever. Oh! and I had almost forgotten one idea that occurred to me--this pianoforte that has been sent here by somebody--though we have all been so well satisfied to consider it a present from the Campbells, may it not be from Mr. Knightley? I cannot help suspecting him. I think","of Jane Fairfax! The interest he takes in her -- his anxiety about her health -- his concern for her brother-in-law, will make him want for nothing! ” And so saying, he began to weep on those points! -- Such an admirer of her performance on the pianoforte, and of her voice! “And yet,” said he, “I think listen to her for ever. “Oh! it is so strangely familiar! I had not thought it so- this pianoforte that has been sent here by our friend the cofferto-roller well satisfied to consider it a present from Aramis, may it not be from Mr. ” “Dame? ” “I am not acquainted with him. Certainly not"," of <MASK> <MASK>! The interest he takes in her -- his anxiety about her health -- his concern that she should have no happier prospect! I have heard him express himself so warmly on those points! -- Such an admirer of her performance on the pianoforte, and of her voice! I have heard him say that he could listen to her for ever. Oh! and I had almost forgotten one idea that occurred to me -- this pianoforte that has been sent here by somebody -- though we have all been so well satisfied to consider it a present from the Campbells, may it not be from Mr. <MASK>? I can not help suspecting him. I think"," of <MASK> <MASK>! The interest he takes in her -- his anxiety about her health -- his concern for her brother-in-law, will make him want for nothing! ” And so saying, he began to weep on those points! -- Such an admirer of her performance on the pianoforte, and of her voice! “ And yet, ” said he, “ I think listen to her for ever. “ Oh! it is so strangely familiar! I had not thought it so- this pianoforte that has been sent here by our friend the cofferto-roller well satisfied to consider it a present from <MASK>, may it not be from Mr. ” “ Dame? ” “ I am not acquainted with him. Certainly not",A2D2,0.9942548,0.9770138,0.017241001
