,Unnamed: 0,Unnamed: 0.1,text,author
51,51,6981," less comfortabletub than my former one, and certain inconveniences attended my excursions,two or three nights per week, to the connubial chamber--via drawing room,creaky stairs, upper landing, second-floor corridor, and past theinscrutable chink-gleam of bel's door; but i treasured my privacy more thani resented its drawbacks. i had the ""turkish toupet,"" as <mask> calledit, to forbid her to communicate with me by thumping on her floor.eventually i had an interior telephone put in my room, to be used only incertain emergencies: i was thinking of such nervous states as the feeling",Nabokov
52,52,13653," they are honest murderers—while here these crooks will think up such tortures for you, it’s almost enough to make you feel nostalgic for the good old russian bullet. hey, why aren’t you looking at me—you, you, you—or don’t you understand what i’m saying?” “no, i understand everything,” said lik. “only please excuse me. i don’t feel well, i must be going. i have to be at the theater soon.” “oh, no. wait just a minute. i understand a few things myself. you’re a strange fellow.… come on, make me an offer of some kind.… try! maybe you’ll shower me with gold after all, eh? listen, you know",Nabokov
53,53,9869," kindly. so you’ll come? excellent. we’ll be expecting you.” as he hung up the receiver <mask> nearly knocked the stand with flexible steel rod and attached pencil off the table; he tried to catch it, and it was then that he did knock it off; then he bumped his hip against the corner of the sideboard; then he dropped a cigarette that he was pulling out of the pack as he walked; and finally he miscalculated the swing of the door which flew open so resonantly that <mask> <mask> just then passing along the corridor with a saucer of milk in her hand, uttered an icy “oops!” he wanted to tell her",Nabokov
54,54,1192," and amuse you, bop (bird of paradise). we went too far. i, <mask>, went too far. we regret that shameful, though basically innocent scene. these are times of emotional stress and reconditioning. destroy and forget. tenderly yours a&v. (in alphabetic order). “i call this pompous, puritanical rot,” said <mask> upon scanning <mask>’s letter. “why should we apollo for her having experienced a delicious spazmochka? i love her and would never allow you to harm her. it’s curious—you know, something in the tone of your note makes me really jealous for the first time in my fire [thus in the manuscript,",Nabokov
55,55,3202," the third time, and, on the whole, the narrative was a rather pale one. <mask> turned over the sheet. his pen quivered and started again. to kill time <mask> again reached for the newspaper, but just then the front-door lock clicked and from the entrance hall came the sound of voices, of shuffling feet, and irina’s awful cackling laugh. 20 <mask> went out to greet them, and, as generally happened when he encountered sonia, he instantly had the sensation that he stood in relief against a dark background. the same thing had happened on her last visit to cambridge (she had come with",Nabokov
56,56,10294," (some wood prepared for the construction of a catholic mission was burning) i saw an elderly chinese at a safe distance from the fire throwing water assiduously, determinedly and without tiring over the reflection of the flames on the walls of his dwelling; convinced of the impossibility of proving to him that his house was not burning we abandoned him to his fruitless occupation. frequently we had to push our way through, ignoring chinese intimidation and interdictions: good marksmanship is the best passport. in tatsien-lu shaven-headed lamas roamed about the crooked, narrow streets",Nabokov
57,57,15472," to know that fine actors are interested in humbert's part. we are reserving passages on the united states, sailing on feb. 19th. it will be a pleasure to see you and mr. harris. sincerely yours, (mrs. vladimir nabokov) to: <mask> <mask> <mask> cc, 2 pp. hotel astoria avenue carnot menton, france january 16, 1960 dear mr. lazar, my husband received your cable which read ""have concluded negotiations whereby <mask> is required to be in hollywood on or before march first and <mask> receives the sum of forty thousand dollars to be paid as follows twenty thousand dollars pro",Nabokov
58,58,1277," replied “<mask> veen,” had mr. <mask> not been a quicker suitor. i think i met a broom somewhere. drop the subject. probably a dreary union: hefty, high-handed wife, he more of a bore than ever. “i last saw you thirteen years ago, riding a black pony—no, a black silentium. bozhe moy!” “yes—bozhe moy, you can well say that. those lovely, lovely agonies in lovely ardis! oh, i was absolyutno bezumno (madly) in love with your cousin!” “you mean miss veen? i did not know it. how long—” “neither did she. i was terribly—” “how long are you staying—” “—terribly shy, because, of course, i",Nabokov
59,59,920," and flapping had started in the mirror but <mask> declined to act hastily. in order to gain time (for, on being shown <mask>’s crest on a separate card, he felt he had to decide whether or not to accept her letter), he closely examined the badge resembling an ace of hearts which <mask> displayed with pardonable pride. he requested <mask> to open the letter, satisfy himself of its authenticity, and sign the card that then went back into some secret pit or pouch within the young detective’s attire or anatomy. cries of welcome and impatience from <mask>’s father (wearing for the flight to france a",Nabokov
60,60,11407," dining out — did not show a trace of that dull unhealthy tinge it so often had. his rather large slightly pointed ears were aflame as they were when he was pleasurably excited. i, for my part, was tongue-tied and stiff. somehow, i felt that i had barged in. 'shall we go to a cinema or something,' asked <mask> diving into his waistcoat pocket, with two fingers. 'just as you like,' said clare. 'gah-song,' said <mask>. i had noticed before that he tried to pronounce french as a real healthy britisher would. for some time we searched under the table and under the plush seats for one",Nabokov
61,61,13443," portrait, with my wife, my young daughters, the doberman pinscher (idyllic garlands, a signet ring, a slender cane), between that happy, wise, and good world … and what? was there any practical chance of life together with nina, life i could barely imagine, for it would be penetrated, i knew, with a passionate, intolerable bitterness and every moment of it would be aware of a past, teeming with protean partners. no, the thing was absurd. and moreover was she not chained to her husband by something stronger than love—the staunch friendship between two convicts? absurd! but then what should i",Nabokov
62,62,8249," the time he was helpless with it he would have his students in stitches, with abrupt barks of clockwork hilarity coming from <mask> and a dazzling flow of unsuspected lovely laughter transfiguring josephine, who was not pretty, while eileen, who was, dissolved in a jelly of unbecoming giggles. all of which does not alter the fact that <mask> was on the wrong train. how should we diagnose his sad case? pnin, it should be particularly stressed, was anything but the type of that good-natured german platitude of last century, der zerstreute professor. on the contrary, he was perhaps too wary,",Nabokov
63,63,10794," (ninth scene), for a metrical error in the twenty-first line of “the feast during the plague,” for repeating the phrase “every minute” (pominutno) five times within sixteen lines in “the blizzard,” but for god’s sake stop that irrele<mask>t chitchat. <mask> sagaciously compares the critical utterances of the sixties concerning <mask> with the attitude to him, three decades earlier, of the chief of police <mask> <mask> or that of the director of the third section, von fock. in truth, <mask>’s highest praise for a writer, like that of the ruler <mask> i or the",Nabokov
64,64,13965," idly scanning the battlefield through a pair of opera glasses. when movies and we were young, we used to be shown what the sights divulged neatly framed in two connected circles. not now. what we do see next is general golubkov, all indolence suddenly gone, leaping into the saddle, looming sky-high for an instant on his rearing steed, and then rocketing into a crazy attack. but the unexpected is the infra-red in the spectrum of art: instead of the conditional ra-ta-ta reflex of machine gunnery, a woman’s voice is heard singing afar. nearer, still nearer, and finally all-pervading. a",Nabokov
65,65,6965," to my feet, drained the rest of louise's daiquiri, and joined herin the hallway. she had never melted and shivered so nicely in my embrace as she didnow. ""how many quadruped critics,"" she asked after a tender pause in thedark garden, ""would accuse you of leg pulling if you published thedescription of those funny feelings. three, ten, a herd?"" ""those are not really `feelings' and they are not really `funny.' ijust wished you to be aware that if i go mad it will be in consequence of mygames with the idea of space. `rolling over' would be cheating and besideswould not help.""",Nabokov
66,66,2224," 'wait a minute. a very short and pleasant cut.' he went to the foot of a winding staircase and looking up called: 'mac!' there was no answer. he waited, with his face now turned upwards, now half turned to <mask> — not really looking at <mask>; blinking, listening. 'mac!' again there was no reply, and after a while quist decided to go upstairs and fetch what he wanted himself. <mask> examined some poor things on a shelf: an old rusty bicycle bell, a brown tennis racket, an ivory penholder with a tiny peephole of crystal. he peeped, closing one eye; he saw a cinnabar sunset and a black",Nabokov
