,Unnamed: 0,text,author
10,1837," did not have to ring or knock or anything for the door on the topmost landing was flung open to greet them by the prodigious Dr <MASK> who was there already, having zoomed perhaps, up some special backstairs, or by means of those nonstop things as when I used to rise from the twinned night of the Keeweenawatin and the horrors of the Laurentian Revolution, through the ghoul-haunted Province of Perm, through Early Recent, Slightly Recent, Not so Recent, Quite Recent, Most Recent — warm, warm! — up to my room number on my hotel floor in a remote country, up, up, in one of those express",Nabokov
11,10544," and Käsebier. The innumerable shelves blocking every inch of wall were crammed with grim blue folders that stuck out their long labels, along which from time to time crawled a hungry, litigious bedbug. By the windows worked four typists: one was a hunchback who spent her salary on clothes; the second was a slender, flighty little thing whose father, a butcher, had been killed with a meat hook by his hot-tempered son; the third was a defenseless young girl who was slowly collecting a trousseau, and the fourth was a married woman, a buxom blonde, whose soul was little more than a replica of",Nabokov
12,13556," hear his offspring’s public presence—but then I noticed that the mazy and issueless design of the wallpaper was showing through his body; I stretched out my hand to detain my guest, but the dodderer dissolved, shivering from the chill of vanishment. And yet he exists, this father (or existed until quite recently), and if only fate did not bestow on him a salutary ignorance as to the identity of his momentary bedmate, God knows what torment is at large among us, not daring to speak out, and perhaps made even more acute by the fact that the hapless fellow is not fully certain of his",Nabokov
13,12051," up to the window. With a relaxed motion, the soldier handed her a streaming mug and closed the sash. His green shoulder turned and withdrew into the murky depths. Gingerly carrying the mug, the woman returned to her seat. It was coffee with milk, judging by the brown fringe of skin sticking to the rim. Then she began drinking. I have never seen a person drink with such utter, profound, concentrated relish. She forgot her stand, the postcards, the chill wind, her American client, she just sipped, sucked, disappeared totally into her coffee—exactly as I forgot about my vigil and saw only",Nabokov
14,15716," of EO, plus a limited critical apparatus, is provided in my contract with Bollingen. In the foreword I shall supply for your edition1 I shall formulate the necessary credit in a footnote which will also mention that ""a second edition of the complete text is in preparation."" All this you can check any time you want by calling <MASK> <MASK> at the Foundation. Incidentally, if you publish the paperback it would be in our common interest to have <MASK> <MASK> for editor. Text. What you are going to publish is not an ordinary paperback reprint of the original edition but something that will",Nabokov
15,7109," simply reflecting transportationof cadavers by commercial aircraft. A certain notion of daytime andnighttime, in more or less regular alternation, gradually established itselfin my mind as my grotesque adventure reached its final phase. Diurnal andnocturnal effects were rendered obliquely at first with nurses and otherstagehands going to extreme lengths in the handling of movable properties,such as the bouncing of fake starlight from reflecting surfaces or thedaubing of dawns here and there at suitable intervals. It had never occurredto me before that, historically, art, or at least",Nabokov
16,693," glittered, on a separate tray. The French cuisine had contributed its chaudfroids and foie gras. A window was open, and the crickets were stridulating at an ominous speed in the black motionless foliage. It was—to continue the novelistic structure—a long, joyful, delicious dinner, and although the talk consisted mainly of family quips and bright banalities, that reunion was to remain suspended in one’s memory as a strangely significant, not wholly pleasant, experience. One treasured it in the same way as when falling in love with a picture in a pinacoteca or remembering a dream style,",Nabokov
17,7880," picked it up and added it to the scripta. “Please, go,” said poor Bretwit. “I have a pain in my groin that is driving me mad. I have not slept for three nights. You journalists are an obstinate bunch but I am obstinate too. You will never learn from me anything about my king. Good-bye.” He waited on the landing for his visitor’s steps to go down and reach the front door. It was opened and closed, and presently the automatic light on the stairs went out with the sound of a kick. Line 287: humming as you pack The card (his twenty-fourth) with this passage (lines 287-299) is marked",Nabokov
18,12186," coolness and the dry warmth of her long fingers, an incredible bliss came to a boil within him and began deliciously burbling. Then, with a start, he looked behind him toward the window. There, along a pale path amid some rocks, walked blue silhouettes with hoods and small lanterns. <MASK> looked about the room in which he was standing, but without any awareness of a floor beneath his feet. In the distance, instead of a fourth wall, a far, familiar hall glimmered like water, with the black island of a table at its center. It was then that a sudden terror made him compress the cold",Nabokov
19,13277," French fluently, pronouncing les gens (the servants) as if rhyming with agence and splitting août (August) in two syllables (a-ou). She naively translated the Russian grabezhi (robberies) as les grabuges (quarrels) and used some archaic French locutions that had somehow survived in old Russian families, but she rolled her r’s most convincingly even though she had never been to France. Over the dresser in her Berlin room a postcard of Serov’s portrait of the Tsar was fastened with a pin with a fake turquoise head. She was religious, but at times a fit of giggles would overcome her in church.",Nabokov
20,8536," years ago, when I was a lad of seven. And, every time, one discovers new things—for instance I notice now that <MASK> <MASK> does not know on what day his novel starts: it seems to be Friday because that is the day the clockman comes to wind up the clocks in the Oblonski house, but it is also Thursday as mentioned in the conversation at the skating rink between Lyovin and Kitty’s mother.” “What on earth does it matter,” cried Varvara. “Who on earth wants to know the exact day?” “I can tell you the exact day,” said Pnin, blinking in the broken sunlight and inhaling the remembered tang",Nabokov
21,11948," of trees. Far below some toy horsemen hurtled past—but soon the sphere rose out of sight. The hen kept peering downward with one little eye. The flight lasted all day. The day concluded with an ample, vivid sunset. When night fell, the sphere began slowly descending. Once upon a time, in a village on the shore of the Loire, there lived a gentle, wily-eyed peasant. Out he goes into the field at dawn. In the middle of the field he sees a marvel: an immense heap of motley silk. Nearby, overturned, lay a little cage. A chicken, all white, as if modeled out of snow, was thrusting its head",Nabokov
22,9420," or that other one, with shoulders the color of gingerbread, showing him, in a crossed-out corner of a sunlit courtyard, some black salad devouring a green rabbit. These had been pitiful, hurried moments, separated by years of roaming and searching, yet he would have paid anything for any one of them (intermediaries, however, were asked to abstain). Recalling those extreme rarities, those little mistresses of his, who had never even noticed the incubus, he also marveled at how he had remained mysteriously ignorant of their subsequent fate; and yet, how many times, on a shabby lawn, on a",Nabokov
23,6995," after several years ofcloudless concubinage. They were to live to the combined age of 170 inabsolute bliss, yet one grim fateful chapter remained to be constructed. Ifoiled over its first pages at the wrong desk, in the wrong hotel, above thewrong lake, with a view of the wrong isoletta at my left elbow. The onlyright thing was a pregnant-shaped bottle of Gattinara before me. In themiddle of a mangled sentence <MASK> came to join me from Pisa, where Igathered--with amused indifference--that she had recoupled with a formerlover. Playing on the strings of her meek uneasiness I took her",Nabokov
24,8903," was born. And old Luzhin mentally invited his future biographer (who as one came nearer to him in time became paradoxically more and more insubstantial, more and more remote) to take a good close look at this chance room where the novella The Gambit had been evolved. He drank the rest of his tea in one gulp, donned his coat and hat, learned from the waiter that today was Tuesday and not Wednesday, smiled not without a certain satisfaction over his own absentmindedness and immediately upon returning home removed the black metal cover from his typewriter. The most vivid thing standing",Nabokov
25,5538," that silky shimmer above her temple grading into bright brown hair. And the little bone twitching at the side of her dust-powdered ankle. “The McCoo girl? <MASK> <MASK> Oh, she’s a fright. And mean. And lame. Nearly died of polio.” Ping. The glistening tracery of down on her forearm. When she got up to take in the wash, I had a chance of adoring from afar the faded seat of her rolled-up jeans. Out of the lawn, bland Mrs. Haze, complete with camera, grew up like a fakir’s fake tree and after some heliotropic fussing—sad eyes up, glad eyes down—had the cheek of taking my picture as I sat",Nabokov
26,10633," In winter, in the snowy darkness, a rowdy gang used to tear downhill in a huge, horse-drawn, flat sled while roaring out dactylic hexameters—and the chief of police, in his nightcap, would pull aside his curtain and grin encouragingly, happy that the seminarists’ frolics would frighten off any night burglars. He would have been a priest, like his father, and would have reached, very likely, a high rank—but for the regrettable incident with Major Protopopov. This was a local landowner, a bon vivant, a wencher, a dog lover: it was his son that Father <MASK> too hastily recorded in the",Nabokov
27,4548," between fits of coughing. “It simply cannot. Why, look at yourself—you’re as pale as death.” The noise in the house was swelling and drawing nearer; it seemed as though that enormous tree were bellowing with all its lights. “… as death,” said Martha. <MASK> felt another onset of nausea; the voices surged forward; sweaty <MASK> rushed past, escaping from <MASK> and the engineer, and after them came the others guffawing and gibbering, and Tom, locked up in the garage, was barking his head off. And the noise of the hunt seemed to pursue <MASK> as he vomited in the deserted street and",Nabokov
28,12230," walking along the uneven sidewalk, under the slanting streams of black rain. She entered all the bars one by one. Bursts of raucous music deafened her and men looked her over insolently. She would glance around the smoky, spinning, motley tavern and go back out into the lashing night. Soon it began to seem to her that she was continuously entering one and the same bar, and an agonizing weakness descended upon her shoulders. She walked, limping and emitting barely audible moans, holding tightly the turquoise knob of her cane in her cold hand. A policeman who had been watching her for some",Nabokov
29,8875," matter, went off to see the gloomy country doctor, who was a far better chess player than he, and in the evening after dinner, laughing and rubbing his hands, doing his best to ignore the fact that all this was wrong — but why wrong he could not say — he sat his son down with the doctor at the wicker table on the veranda, himself set out the pieces (apologizing for the purple thingum), sat down beside the players and began avidly following the game. Twitching his bushy eyebrows and tormenting his fleshy nose with a large hairy fist, the doctor thought long over every move and from time to",Nabokov
30,11196," that covered the rest of the sky (but they were by now quite soft and aloof, as if painted in melting undulations upon a greenish ceiling); there, in that narrow slit, the sky was on fire, and opposite, a window and some metallic letters shone like copper. A porter’s long shadow, pushing the shadow of a barrow, sucked in that shadow, but at the turning it protruded again at a sharp angle. “We’ll miss you, Zina,” said <MASK> Nikolavna, from the window of the carriage. “But in any case take your vacation in August and come over—we’ll see if you can’t perhaps stay for good.” “I don’t",Nabokov
31,5368," “Well, today she did!” “I thought that my ears were beginning to get hallucinations,” said Albinus. “Yesterday, for instance, I had the most definite impression that someone was stealing barefoot along the corridor.” “You’ll go out of your mind, if you’re not careful,” said <MASK> drily. In the afternoon, during Albinus’ usual nap, she would sometimes go for a stroll with Rex. They fetched the letters and newspapers from the post office, or climbed up to the waterfall—and a couple of times went to a café in the pretty little town lower down. Once, as they were returning to the house",Nabokov
32,7931," bay, on a misty and luminous September day, with the diagonal of the first silver filament crossing the space between two balusters, the King had surveyed the twinkling ripples of Lake Geneva and had noted their antiphonal response, the flashing of tinfoil scares in the hillside vineyards. Gradus as he stood there, and moodily looked down at the red tiles of Lavender’s villa snuggling among its protective trees, could make out, with some help from his betters, a part of the lawn and a segment of the pool, and even distinguish a pair of sandals on its marble rim—all that remained of",Nabokov
33,4151," lighting every time on the same pendants (which for some reason amused him), and the old chairs extended their plush-covered arms with comical cordiality. An old pug dozed on an embroidered cushion. In reply to the expectant interrogatory sigh of his cousin he had suddenly said, coming to life with a laugh: “Well, why don’t you have him come to see me in Berlin? I’ll give him a job.” And that was what his wife could not forgive him. She called it “swamping the business with poor relations”; but when you come down to it, how can one poor relation swamp anything? Knowing that",Nabokov
34,11783," books there, but also various handmade bric-a-brac. Petya selected a hammer adorned with poppies and emblazoned with an inscription typical for a Bolshevik hammer. The clerk inquired if he would like something else. Petya said, “Yes, I would,” nodding at a small plaster bust of Mister Ulyanov.* He paid fifteen marks for bust and hammer, whereupon, without a word, right there on the counter, he popped that bust with that hammer, and with such force that Mister Ulyanov disintegrated. I was fond of that story, just as I was fond, for instance, of the dear silly sayings from unforgettable",Nabokov
35,2316," of Krug's brain where it gently expands. The drive was a long one. Somewhere, in a rough mountain region four or five thousand feet above sea level they stopped: the soldiers wanted their frishtik [early luncheon] and were not loath to make a quiet picnic of it in that wild and picturesque place. The car stood inert, very slightly leaning on one side among dark rocks and patches of dead white snow. They took out their bread and cucumbers and regimental thermos bottles and moodily munched as they sat hunched up on the footboard or on the withered tousled coarse grass beside the",Nabokov
36,2513," and again a figure appeared, and again it was he. I turned on my other side, and for a while all was dark and peaceful, unruffled blackness; then, gradually, a road became perceptible: the same road, but the other way round; and there appeared suddenly before my very face, as if coming out of me, the back of a man’s head and the bag strapped to his shoulders; slowly his figure diminished, he was going, going, in another instant would be gone … but all of a sudden he stopped, glanced back and retraced his steps, so that his face grew clearer and clearer; and it was my own face. I turned",Nabokov
37,85," <MASK> started to reconstruct his deepest past, he soon noticed that such details of his infancy as really mattered (for the special purpose the reconstruction pursued) could be best treated, could not seldom be only treated, when reappearing at various later stages of his boyhood and youth, as sudden juxtapositions that revived the part while vivifying the whole. This is why his first love has precedence here over his first bad hurt or bad dream. He had just turned thirteen. He had never before left the comforts of the paternal roof. He had never before realized that such “comforts”",Nabokov
38,8352," maladjustment, which entailed, of course, comparing notes on their mates, who later were interviewed, too, in a special “husband group,” likewise very informal, with a great passing around of cigars and anatomic charts. Pnin skipped the actual reports and case histories—and there is no need to go here into those hilarious details. Suffice it to say that already at the third session of the female group, after this or that lady had gone home and seen the light and come back to describe the newly discovered sensation to her still blocked but rapt sisters, a ringing note of revivalism",Nabokov
39,8959," toward the waiting taxi. His father's death did not interrupt his work. He was getting ready for the Berlin tournament with the definite idea of finding the best defense against the complex opening of the Italian Turati who was the most awesome of the future participants in the tournament. This player, a representative of the latest fashions in chess, opened the game by moving up on the flanks, leaving the middle of the board unoccupied by Pawns but exercising a most dangerous influence on the center from the sides. Scorning the cozy safety of castling he strove to create the most",Nabokov
40,7781," he was exposed to that arching blaze. He began the descent. Three hours later he trod level ground. Two old women working in an orchard unbent in slow motion and stared after him. He had passed the pine groves of Boscobel and was approaching the quay of Blawick, when a black police car turned out of a transverse road and pulled up next to him: “The joke has gone too far,” said the driver. “One hundred clowns are packed in Onhava jail, and the ex-King should be among them. Our local prison is much too small for more kings. The next masquerader will be shot at sight. What’s your real name,",Nabokov
41,10869," the government asks from time to time whether <MASK> is guilty—and finally the government will obtain an answer. 8) It is that answer I am waiting for. “The copy of a rather curious letter from Chernyshevski,” added <MASK> in pencil. “But he is mistaken: no one will have to apologize.” A few days after that he began to write his novel, What to Do?— and by January 15th he had sent the first portion to Pypin; a week later he sent a second, and <MASK> handed both to <MASK> for The Contemporary, which had again been permitted (beginning with February). At the same time The Russian",Nabokov
42,10339," I found in some notes by the French missionary (and learned botanist) Barraud, who in the summer of 1917 chanced to meet him in the mountains of Tibet, near the village of Chetu. “I was amazed to see,” writes <MASK> (Exploration catholique for 1923), “a saddled white horse grazing in a mountain meadow. Presently a man in European dress appeared, descending from the rocks; he greeted me in French and turned out to be the famous Russian traveler Godunov. I had not seen a European for over eight years. We passed several delightful minutes on the sward in the shade of a rock, discussing a fine",Nabokov
43,3133," the gloom of the gothic night, a fiery-haired witch emerge from the chimney into the starry sky. Next day <MASK> would pay a fine. Being of lively and sociable temperament <MASK> did not remain alone for long. Fairly soon he made friends with his downstairs neighbor <MASK> as well as with various men at the soccer field, the club, and the dining hall. He noticed that everyone felt it his duty to discuss Russia with him and to learn what he thought about the Revolution, intervention, <MASK> and Trotsky; while some, who had visited Russia, praised Russian hospitality and asked if he happened",Nabokov
44,2314," was really happening,' or in technical language: the 'ego', he goes 'ouf' (out) and the pure 'egg' (common extract of egos) 'remains'. And then the fun began. One of the patients (a 'representative' or 'potential leader'), a heavy handsome boy of seventeen went up to the 'little person' and sat down beside him on the turf and said 'open your mouth'. The 'little person' did what he was told and with unerring precision the youth spat a pebble into the child's open mouth. (This was a wee bit against the rules, because generally speaking, all missiles, instruments, arms and so forth were",Nabokov
45,2426," Bolshevism meant to her a nuisance akin to the common cold. She took it for granted that facts confirmed her opinion; their truth was too obvious to be discussed. Bolsheviks did not believe in God; that was naughty of them, but what else could one expect from sadists and hooligans? When I used to say that Communism in the long run was a great and necessary thing; that young, new Russia was producing wonderful values, although unintelligible to Western minds and unacceptable to destitute and embittered exiles; that history had never yet known such enthusiasm, asceticism, and",Nabokov
46,3364," see what you are going to do there.” “Suppose I do nothing,” <MASK> said gloomily. Uncle <MASK> looked at him with surprise. “That’s a bizarre answer. I don’t know what your father would have thought of an answer like that. I think he would be as astonished as I am that a young man full of sap and health despises all work. Please understand,” he hastily added, noticing that <MASK> had reddened unpleasantly, “I am not being stingy—je ne suis pas mesquin. I am rich enough, thank God, to provide for you—I make a duty and a joy of it—but it would be folly not to take a job. Europe is passing",Nabokov
47,889," the coveted filth hole in the panic and pain of infinite night. You may answer, of course, if you are versed in contemporary novelistics, and if you fancy the jargon of English writers, that a ‘lower-middle-class’ piano tuner who falls in love with a fast ‘upper-class’ girl, thereby destroying his own family, is not committing a crime deserving the castigation which a chance intruder—” With a not unfamiliar gesture, Van tore up his prepared speech and said: “Mr. Rack, open your eyes. I’m Van Veen. A visitor.” The hollow-cheeked, long-jawed face, wax-pale, with a fattish nose and a",Nabokov
48,6757," andin the last pages my young hero accepts a flirt's challenge and accomplishesa final gratuitous feat by walking through a perilous forest into Sovietterritory and as casually strolling back. I am giving this summary to exemplify what even the poorest reader ofmy Dare must surely retain, unless electrolysis destroys some essentialcells soon after he closes the book. Now part of Annette's frail charm layin her forgetfulness which veiled everything toward the evening ofeverything, like the kind of pastel haze that obliterates mountains, clouds,and even its own self as the summer day",Nabokov
49,15258," of all to wait for Doubleday to make up their mind. If they decide that they want to publish LOLITA as a book, I shall put you in touch with them in due course. If they decide against publication, I shall put you in touch with the other important publisher who is willing to do the job the way it should be done. Whoever publishes LOLITA here will have to agree to defend it, at his own expense, and to carry this defense through the courts as far as the Supreme Court, if necessary. I am sure you are getting a lot of offers right now from all kinds of mediocre firms. So am I. This is not",Nabokov
50,14190," lamps, and other maddening details. Spacious windows alternated with narrower ones, single or geminate, and some of these were of frosted glass. In a few of the compartments, the beds had been made. The then great and glamorous Nord Express (it was never the same after World War I), consisting solely of such international cars and running but twice a week, connected St. Petersburg with Paris. I would have said: directly with Paris, had passengers not been obliged to change from one train to a superficially similar one at the Russo-German frontier (Verzhbolovo-Eydtkuhnen), where the",Nabokov
51,6981," less comfortabletub than my former one, and certain inconveniences attended my excursions,two or three nights per week, to the connubial chamber--via drawing room,creaky stairs, upper landing, second-floor corridor, and past theinscrutable chink-gleam of Bel's door; but I treasured my privacy more thanI resented its drawbacks. I had the ""Turkish toupet,"" as <MASK> calledit, to forbid her to communicate with me by thumping on her floor.Eventually I had an interior telephone put in my room, to be used only incertain emergencies: I was thinking of such nervous states as the feeling",Nabokov
52,13653," they are honest murderers—while here these crooks will think up such tortures for you, it’s almost enough to make you feel nostalgic for the good old Russian bullet. Hey, why aren’t you looking at me—you, you, you—or don’t you understand what I’m saying?” “No, I understand everything,” said Lik. “Only please excuse me. I don’t feel well, I must be going. I have to be at the theater soon.” “Oh, no. Wait just a minute. I understand a few things myself. You’re a strange fellow.… Come on, make me an offer of some kind.… Try! Maybe you’ll shower me with gold after all, eh? Listen, you know",Nabokov
53,9869," kindly. So you’ll come? Excellent. We’ll be expecting you.” As he hung up the receiver <MASK> nearly knocked the stand with flexible steel rod and attached pencil off the table; he tried to catch it, and it was then that he did knock it off; then he bumped his hip against the corner of the sideboard; then he dropped a cigarette that he was pulling out of the pack as he walked; and finally he miscalculated the swing of the door which flew open so resonantly that <MASK> <MASK> just then passing along the corridor with a saucer of milk in her hand, uttered an icy “Oops!” He wanted to tell her",Nabokov
54,1192," and amuse you, BOP (bird of paradise). We went too far. I, Van, went too far. We regret that shameful, though basically innocent scene. These are times of emotional stress and reconditioning. Destroy and forget. Tenderly yours A&V. (in alphabetic order). “I call this pompous, puritanical rot,” said <MASK> upon scanning Van’s letter. “Why should we apollo for her having experienced a delicious spazmochka? I love her and would never allow you to harm her. It’s curious—you know, something in the tone of your note makes me really jealous for the first time in my fire [thus in the manuscript,",Nabokov
55,3202," the third time, and, on the whole, the narrative was a rather pale one. <MASK> turned over the sheet. His pen quivered and started again. To kill time <MASK> again reached for the newspaper, but just then the front-door lock clicked and from the entrance hall came the sound of voices, of shuffling feet, and Irina’s awful cackling laugh. 20 <MASK> went out to greet them, and, as generally happened when he encountered Sonia, he instantly had the sensation that he stood in relief against a dark background. The same thing had happened on her last visit to Cambridge (she had come with",Nabokov
56,10294," (some wood prepared for the construction of a Catholic mission was burning) I saw an elderly Chinese at a safe distance from the fire throwing water assiduously, determinedly and without tiring over the reflection of the flames on the walls of his dwelling; convinced of the impossibility of proving to him that his house was not burning we abandoned him to his fruitless occupation. Frequently we had to push our way through, ignoring Chinese intimidation and interdictions: good marksmanship is the best passport. In Tatsien-Lu shaven-headed lamas roamed about the crooked, narrow streets",Nabokov
57,15472," to know that fine actors are interested in Humbert's part. We are reserving passages on the United States, sailing on Feb. 19th. It will be a pleasure to see you and Mr. Harris. Sincerely yours, (Mrs. Vladimir Nabokov) TO: <MASK> <MASK> <MASK> CC, 2 pp. Hotel Astoria Avenue Carnot Menton, France January 16, 1960 Dear Mr. Lazar, My husband received your cable which read ""HAVE CONCLUDED NEGOTIATIONS WHEREBY <MASK> IS REQUIRED TO BE IN HOLLYWOOD ON OR BEFORE MARCH FIRST AND <MASK> RECEIVES THE SUM OF FORTY THOUSAND DOLLARS TO BE PAID AS FOLLOWS TWENTY THOUSAND DOLLARS PRO",Nabokov
58,1277," replied “Ada Veen,” had Mr. <MASK> not been a quicker suitor. I think I met a Broom somewhere. Drop the subject. Probably a dreary union: hefty, high-handed wife, he more of a bore than ever. “I last saw you thirteen years ago, riding a black pony—no, a black Silentium. Bozhe moy!” “Yes—Bozhe moy, you can well say that. Those lovely, lovely agonies in lovely Ardis! Oh, I was absolyutno bezumno (madly) in love with your cousin!” “You mean Miss Veen? I did not know it. How long—” “Neither did she. I was terribly—” “How long are you staying—” “—terribly shy, because, of course, I",Nabokov
59,920," and flapping had started in the mirror but <MASK> declined to act hastily. In order to gain time (for, on being shown Ada’s crest on a separate card, he felt he had to decide whether or not to accept her letter), he closely examined the badge resembling an ace of hearts which <MASK> displayed with pardonable pride. He requested <MASK> to open the letter, satisfy himself of its authenticity, and sign the card that then went back into some secret pit or pouch within the young detective’s attire or anatomy. Cries of welcome and impatience from Van’s father (wearing for the flight to France a",Nabokov
60,11407," dining out — did not show a trace of that dull unhealthy tinge it so often had. His rather large slightly pointed ears were aflame as they were when he was pleasurably excited. I, for my part, was tongue-tied and stiff. Somehow, I felt that I had barged in. 'Shall we go to a cinema or something,' asked <MASK> diving into his waistcoat pocket, with two fingers. 'Just as you like,' said Clare. 'Gah-song,' said Sebastian. I had noticed before that he tried to pronounce French as a real healthy Britisher would. For some time we searched under the table and under the plush seats for one",Nabokov
61,13443," portrait, with my wife, my young daughters, the Doberman pinscher (idyllic garlands, a signet ring, a slender cane), between that happy, wise, and good world … and what? Was there any practical chance of life together with Nina, life I could barely imagine, for it would be penetrated, I knew, with a passionate, intolerable bitterness and every moment of it would be aware of a past, teeming with protean partners. No, the thing was absurd. And moreover was she not chained to her husband by something stronger than love—the staunch friendship between two convicts? Absurd! But then what should I",Nabokov
62,8249," the time he was helpless with it he would have his students in stitches, with abrupt barks of clockwork hilarity coming from <MASK> and a dazzling flow of unsuspected lovely laughter transfiguring Josephine, who was not pretty, while Eileen, who was, dissolved in a jelly of unbecoming giggles. All of which does not alter the fact that <MASK> was on the wrong train. How should we diagnose his sad case? Pnin, it should be particularly stressed, was anything but the type of that good-natured German platitude of last century, der zerstreute Professor. On the contrary, he was perhaps too wary,",Nabokov
63,10794," (ninth scene), for a metrical error in the twenty-first line of “The Feast During the Plague,” for repeating the phrase “every minute” (pominutno) five times within sixteen lines in “The Blizzard,” but for God’s sake stop that irrelevant chitchat. <MASK> sagaciously compares the critical utterances of the sixties concerning <MASK> with the attitude to him, three decades earlier, of the chief of police <MASK> <MASK> or that of the director of the third section, Von Fock. In truth, Chernyshevski’s highest praise for a writer, like that of the ruler <MASK> I or the",Nabokov
64,13965," idly scanning the battlefield through a pair of opera glasses. When movies and we were young, we used to be shown what the sights divulged neatly framed in two connected circles. Not now. What we do see next is General Golubkov, all indolence suddenly gone, leaping into the saddle, looming sky-high for an instant on his rearing steed, and then rocketing into a crazy attack. But the unexpected is the infra-red in the spectrum of Art: instead of the conditional ra-ta-ta reflex of machine gunnery, a woman’s voice is heard singing afar. Nearer, still nearer, and finally all-pervading. A",Nabokov
