text,author
" O. R. and R. P. Hughes and G. Struve, with the original en regard, New York, Harcourt, Brace, 1967. I was unable to use Struve’s version in this volume for the same reasons that made me forgo his “Tchorb’s Return” (see Introduction to it).The “writer” in the story is not a self-portrait but the generalized image of a middlebrow author. The “critic,” however, is a friendly sketch of a fellow émigré, Yuliy Ayhenvald, the well-known literary critic (1872–1928). Readers of the time recognized his precise, delicate little gestures and his fondness for playing with euphonically twinned phrases in h",Nabokov
" disgraceful, and dangerous it would be if any of the students or professors learned that this lanky, gloomy youth, who excelled as much at his studies as at vanbol on the two-hundred-year-old-court behind the library building, was not at all a notary’s son, but a king’s nephew. Whether it was submission to one of those many whims, enigmatic in their stupidity, with which someone unknown and mightier than the king and the Peplerhus together for some reason troubled the shabby, monotonous, northern life, faithful to half-forgotten covenants, of that “île triste et lointaine”; or whether the ",Nabokov
" blouse. As Ganin caught up with her, like a soft breeze, he saw only the folds of blue stuff stretching and rippling across her back, and the black silk bow like two outstretched wings. As he glided past he never looked into her face but pretended to be absorbed in cycling, although a minute earlier, imagining their meeting, he had sworn that he would smile at her and greet her. In those days he thought she must have some unusual, resounding name, and when he found out from the same student that she was called Mary he was not at all surprised, as though he had known it in advance—and that s",Nabokov
" the house, empty-handed and hatless, with the casual lightness of one walking to the newsstand—or to a glorious scaffold.3Terrestrial space loves concealment. The most it yields to the eye is a panoramic view. The horizon closes upon the receding traveler like a trap door in slow motion. For those who remain, any town a day’s journey from here is invisible, whereas you can easily see such transcendencies as, say, a lunar amphitheater and the shadow cast by its circular ridge. The conjuror who displays the firmament has rolled up his sleeves and performs in full view of the little spectators. ",Nabokov
" asleep. He was wakened by the steps of the maid dispatched by his mother.... It was dim and cheerless in the bedroom; his mother drew him to her but he braced himself and turned away so stubbornly that she had to let him go. 'Come, tell me something,' she said softly. He shrugged his shoulders and picked at his knee with one finger. 'Don't you want to tell me anything?' she asked still more softly. He looked at the bedside table, put a boule-de-gomme in his mouth and began to suck — he took a second, a third, another and another until his mouth was full of sweet-thudding and bumping balls. 'T",Nabokov
" going to—uh—happen? I have only a very small room.”“Don’t worry about that either,” said Frau Monde, and her corset creaked as she rose. “Now it’s time you went home. No harm in getting a good night’s rest. I’ll give you a lift.”In the open taxi, with the dark wind streaming between starry sky and glistening asphalt, poor Erwin felt tremendously elated. Frau Monde sat erect, her crossed legs forming a sharp angle, and the city lights flashed in her gemlike eyes.“Here’s your house,” she said, touching Erwin’s shoulder. “Au revoir.”3Many are the dreams that can be brought on by a mug of dark ",Nabokov
" to go together did not want to be uncoupled. In themselves they were neither bad nor good, but their combination in groups, the mutual guarantee of rhymes, the rank-grown rhythms—all this made them foul, hideous and dead. To consider himself a mediocrity was hardly any better than believing he was a genius: Fyodor doubted the first and conceded the second, but more important, strove not to surrender to the fiendish despair of a blank sheet. Since there were things he wanted to express just as naturally and unrestrainedly as the lungs want to expand, hence words suitable for breathing",Nabokov
" put at one’s disposal by a generous city. He said he was a generous citizen who preferred a taxi or a private car. By taking these precautions, Martha believed that nobody would ever guess that she transposed or curtailed or missed altogether those delightful contortions and scattering of invisible flowers in the delightful company of other barefooted ladies in more or less comical tunics.On the day that businessman Dreyer, owner of the Dandy department store, and his chauffeur briefly appeared in the city news section of her newspaper, Martha arrived a little earlier than usual. ",Nabokov
" when we opened our lips to speak. I shared with him my experience in romance, taught him the art of chess, entertained him with a timely anecdote. And so the days passed. The results are before you. We grew to love each other, and the structure of Cincinnatus’s soul is as well known to me as the structure of his neck. Thus it will be not an unfamiliar, terrible somebody but a tender friend that will help him mount the crimson steps, and he will surrender himself to me without fear—forever, for all death. Let the will of the public be carried out!” (He got up; the director got up also; the",Nabokov
" blew a tire on the way to Miss Emperor—and that he had got into some trouble since then. The corpse of the executed sweater, no matter how I changed its contours as it lay on the back seat of the car, had kept revealing various outlines pertaining to Trapp-Schiller—the grossness and obscene bonhommie of his body, and to counteract this taste of coarse corruption I resolved to make myself especially handsome and smart as I pressed home the nipple of my alarm clock before it exploded at the set hour of six A.M. Then, with the stern and romantic care of a gentleman about to fight a duel, I c",Nabokov
" and no doubt an April or two; but at least a dozenwinters of my nineteen pre-Cambridge ones were spent on Mediterranean orBlack Sea coasts. As to summers, to my young summers, all of them hadbloomed for me on the great country estates of my family. Thus I realizedwith silly astonishment that, except for picture postcards (views ofconventional public parks with lindens looking like oaks and a pistachiopalace instead of the remembered pinkish one, and relentlessly gilded churchdomes--all of it under an Italianate sky), I had never seen my native cityin June or July. Its aspect, therefore, evok",Nabokov
" on my neglected Charlotte. Indeed, the only couple with whom she had relations of real cordiality, devoid of any arrière-pensée or practical foresight, were the Farlows who had just come back from a business trip to Chile in time to attend our wedding, with the Chatfields, McCoos, and a few others (but not Mrs. Junk or the even prouder Mrs. Talbot). John Farlow was a middle-aged, quiet, quietly athletic, quietly successful dealer in sporting goods, who had an office at Parkington, forty miles away: it was he who got me the cartridges for that Colt and showed me how to use it, during a walk in",Nabokov
" their prudently planning every step of their infrequent nocturnal trysts. He scrambled out of his hammock and padded toward the lighted doorway. Before him stood the pale wavering figure of Blanche. She presented an odd sight: bare armed, in her petticoat, one stocking gartered, the other down to her ankle; no slippers; armpits glistening with sweat; she was loosening her hair in a wretched simulacrum of seduction.“C’est ma dernière nuit au château,” she said softly, and rephrased it in her quaint English, elegiac and stilted, as spoken only in obsolete novels. “ ’Tis my last night with t",Nabokov
" or otherwise moved anywhere today. Besides, it is highly improbable they will need eight rooms for their reunion.”Pnin put on his new brown suit (paid for by the Cremona lecture) and, after a hurried lunch at The Egg and We, walked through the snow-patched park to the Waindell bus station, arriving there almost an hour too early. He did not bother to puzzle out why exactly Liza had felt the urgent need to see him on her way back from visiting St. Bartholomew’s, the preparatory school near Boston that her son would go to next fall: all he knew was that a flood of happiness foamed and ro",Nabokov
" after falling under the smooth spell of a nicely graded curve, the travelers became aware of a diamond glow through the mist, then a gleam of lakewater appeared—and there it was, marvelously and inexorably, under spectral trees, at the top of a graveled drive—the pale palace of The Enchanted Hunters.A row of parked cars, like pigs at a trough, seemed at first sight to forbid access; but then, by magic, a formidable convertible, resplendent, rubious in the lighted rain, came into motion—was energetically backed out by a broad-shouldered driver—and we gratefully slipped into the gap it had le",Nabokov
" with me, and if publication in the US is eventually arranged on terms satisfactory to me, I shall likewise cooperate and shall agree to amend our contract so that you can without question license the American publisher.Re translation.1 Capeline, which is not at all the kind of hat I meant, is the least error among the numerous blunders.On p. 23: The acte de naissance is meaningless; on the same page the translator has not understood that the allusion is to Poe's ""Annabel Lee"". There is no couronne d'épines.On p. 24: The description of the carte postale is wrong. It should be à vues d'un b",Nabokov
" thus.Let drawing students copy the acanthus,I work with Master on the architrave!Line 991: horseshoesNeither Shade nor I had ever been able to ascertain whence precisely those ringing sounds came—which of the five families dwelling across the road on the lower slopes of our woody hill played horseshoe quoits every other evening; but the tantalizing tingles and jingles contributed a pleasant melancholy note to the rest of Dulwich Hill’s evening sonorities—children calling to each other, children being called home, and the ecstatic barking of the boxer dog whom most of the neighbors disliked",Nabokov
" against the fresh spring wind, turned up the collar of his well-kept dark gray overcoat with its huge bone buttons. He still felt a debilitating weakness in the legs, an aftereffect of his heart attack, but today he derived a certain cheerful relief from the thought that now he would most likely have done with all the fuss about his passport and that he might even get permission to leave for Paris the very next day.The vast purple-red building of the central police headquarters faced onto four streets. It was built in a grim but extremely bad Gothic style with dim windows and a highly intri",Nabokov
" he saw himself as a stern plebeian: hatred (or so it seemed) suffocated him when as a youth he used to look across the river at the great manorial park, heavy with ancient privileges and imperial grants, casting the reflection of its black amassments onto the green water (with the creamy blur of a racemosa blooming here and there among the fir trees).The new school was built on the threshold of this century, at a time when Godunov-Cherdyntsev had returned from his fifth expedition to central Asia and was spending the summer at Leshino, his estate in the Government of St. Petersburg, with his",Nabokov
" her with any part of my wretchedness. Please, reader: no matter your exasperation with the tenderhearted, morbidly sensitive, infinitely circumspect hero of my book, do not skip these essential pages! Imagine me; I shall not exist if you do not imagine me; try to discern the doe in me, trembling in the forest of my own iniquity; let’s even smile a little. After all, there is no harm in smiling. For instance (I almost wrote “frinstance”), I had no place to rest my head, and a fit of heartburn (they call those fries “French,” grand Dieu!) was added to my discomfort.She was again fast asleep, m",Nabokov
" Your grandmother would repeat regularly that ‘already-is-to-be-felt-autumn’ remark every year, at the same time, even on the hottest day of the season at Villa Armina: Marina never realized it was an anagram of the sea, not of her. You look splendid, sïnok moy, but I can well imagine how fed up you must be with her two little girls. Therefore, I have a suggestion—”“Oh, I liked them enormously,” purred Van. “Especially dear little Lucette.”“My suggestion is, come with me to a cocktail party today. It is given by the excellent widow of an obscure Major de Prey—obscurely related to our late ne",Nabokov
" his father, limiting himself to mumbles and “hms.” Ilya Ilyich, on his part, experienced an odd embarrassment in his son’s presence—mainly because he assumed, with terror and tenderness, that Innokentiy lived wholeheartedly in the pure world of the underground as he had himself at that age. Schoolmaster Bychkov’s room: motes of dust in a slanting sunbeam; lit by that beam, a small table he had made with his own hands, varnishing the top and adorning it with a pyrographic design; on the table, a photograph of his wife in a velvet frame—so young, in such a nice dress, with a little pelerine a",Nabokov
" came in sturdy colorful covers) there constantly flitted the image of a fair-haired lad, 'headstrong,' 'brooding,' who later turned into a violinist or a painter, without losing his moral beauty in the process. The barely perceptible peculiarity that distinguished his son from all those children who, in his opinion, were destined to become completely unremarkable people (given that such people exist) he interpreted as the secret stir of talent, and baring firmly in mind the fact that his deceased father-in-law had been a composer (albeit a somewhat arid one and susceptible, in his mature yea",Nabokov
" vehicle that twists dead daisies around its spokes; my second is Oldmanhattan slang for “money”; and my whole makes a hole.As he traversed the second-floor landing, he saw, through the archway of two rooms, Ada in her black dress standing, with her back to him, at the oval window in the boudoir. He told a footman to convey her father’s message to her and passed almost at a run through the familiar echoes of the stone-flagged vestibule.My second is also the meeting place of two steep slopes. Right-hand lower drawer of my practically unused new desk—which is quite as big as Dad’s, with Sig’s co",Nabokov
" surprise that during his mesmeric activities the compartment had managed to fill up: three men with their newspapers and, in the far corner, a brunette with a powdered face. Her shiny coat was of gelatinlike translucency—resisting rain, maybe, but not a man’s gaze. Decorous humor and correct eye-reach—that’s our motto.Ten minutes later he was deep in conversation with the passenger in the opposite window seat, a neatly dressed old gentleman; the prefatory theme had sailed by in the guise of a factory chimney; certain statistics came to be mentioned, and both men expressed themselves with mel",Nabokov
" my watch, it was nearing seven o'clock. We stopped at a filling-station and the driver had a confidential talk with the garage man. I could not guess where we were, but as the road now ran along a vast expanse of fields, I hoped that we were getting nearer my goal. Rain swept and swished against the window-panes and when I pleaded once more with the driver for a little acceleration, he lost his temper and was volubly rude. I felt helpless and numb as I sank back in my seat. Lighted windows blurredly passed by. Would I ever get to Sebastian? Would I find him alive if I did ever reach St Damier",Nabokov
" most keenly and deeply gets used to people and things—had passed by there, in Russia, which she had unconsciously grown to love and understand, and where God only knew what was going on now.… And tomorrow was Orthodox Easter.Joséphine sighed loudly, got up, and closed the window more firmly. She looked at her watch, black on its nickel chain. She would have to do something about those eggs. They were to be a gift for the Platonovs, an elderly Russian couple recently settled in Lausanne, a town both native and foreign to her, where it was hard to breathe, where the houses were stacked at ran",Nabokov
" without which history turns into an arbitrary gyration of multicolored spots, into some kind of impressionistic picture with a walking figure upside down against a green sky that does not exist in nature. But this device (which destroys, by the way, any scholarly value of the work in question, in spite of its swaggering erudition) does not, nevertheless, constitute the author’s chief fault. His chief fault is in the manner in which he portrays Chernyshevski.“It is completely unimportant that Chernyshevski understood less about questions of poetry than a young esthete of today. It is completel",Nabokov
" BUD MACLENNANTL (XEROX), 1 p.Montreux, April 27, 1971Palace HotelDear Miss MacLennan,I received today five copies of the Penguin Books Great Britain edition of ADA. Upon examining them I discovered that in only one the miserable misprint on page 257 (the ""she was pregnant"" of the Penguin Open Market edition) had been properly changed to the correcthe was pregnant.In the four other copies the last line on p. 257 still remains the meaningless ""she was pregnant"" instead of the correcthe was pregnant.You will remember that Penguin Books undertook to eliminate this printer's blunder. I am gre",Nabokov
" of the senses is limited to a few native instruments, and Krug reasons in his dream worse than a drunken fool; but a closer inspection (made when the dream-self is dead for the ten thousandth time, and the day-self inherits for the ten thousandth time those dusty trifles, those debts, those bundles of illegible letters) reveals the presence of someone in the know. Some intruder has been there, tiptoed upstairs, has opened closets and very slightly disarranged the order of things. Then the shrunken, chalk-dusty, incredibly light and dry sponge imbibes water until it is as plump as a f",Nabokov
" for it may be established without much difficulty that I never had any brother; and as to the suicide theory, well, there is hardly any chance of the official imagination swallowing that trigger-and-string stunt.Of the greatest importance to my present security is the fact that the murdered man’s identity is unknown and cannot be known. Meanwhile I have been living under his name, traces of which I have already left here and there, so that I might be run to earth in no time were it discovered whom I have, to use the accepted term, plugged. But there is no way of discovering it, which suit",Nabokov
" never had so much fan mail from readers with my other stories as I had with the four Pnin chapters.There is an intricate interplay in recurrence of themes throughout the book that can be appreciated only if read carefully. I hope you will read MY POOR PNIN yourself; or, if it must be read by some of your readers, that you will pick some sensitive and intelligent people for this task.From the response the published chapters have had so far, I am convinced that this book may have a bright commercial success, if launched properly.Sincerely yours,Vladimir NabokovTO: KIRILL NABOKOVALS, 1 p.Cambr",Nabokov
" into “fountain”: it cannot be rendered in French or German, or Russian, or Zemblan; so the translator will have to put it into one of those footnotes that are the rogue’s galleries of words. However! There exists to my knowledge one absolutely extraordinary, unbelievably elegant case, where not only two, but three words are involved. The story itself is trivial enough (and probably apocryphal). A newspaper account of a Russian tsar’s coronation had, instead of korona (crown), the misprint vorona (crow), and when next day this was apologetically “corrected,” it got misprinted a second",Nabokov
" undress, and, clad only in an imperishable undershirt that went very well with his whiskers, go back to bed and sleep through till morning.That night, however, the old watchman noticed something that was not to his liking. He noticed from the park that one window of the castle was feebly illuminated. He knew with absolute precision that it was a window of the hall where the precious paintings were hung. Since he was an exceptionally cowardly old chap, he decided to pretend to himself that he had not noticed that strange light. But his conscientiousness got the upper hand, and he calmly determ",Nabokov
" dreadful marble imitation of Mount St. George showing a black tunnel at its base, which turned out to be the mouth of an inkwell, and with a compartment for pens in the semblance of railroad tracks. Open-mouthed, quivering, all agog with sardonic triumph, he turned that dusty, cumbersome, and perfectly irresponsible thing in his hands, paid without bargaining, and with his mouth still open came out carrying the monster. Like some autocrat who surrounds himself with hunchbacks and dwarfs, he would become attached to this or that hideous object; this infatuation might last from five minutes to",Nabokov
" laughter as he finished recounting to the Thayers and Betty Bliss how he, too, had once retrieved the wrong reticule.“Come, my fluorescent corpse, let’s be moving,” said Joan. “It was so nice to see you, Herman. Give my love to Irmgard. What a delightful party. I have never seen Timofey so happy.”“Yes, thank you,” answered Hagen absent-mindedly.“You should have seen his face,” said Joan, “when he told us he was going to talk to a real-estate man tomorrow about buying that dream house.”“He did? You’re sure he said that?” Hagen asked sharply.“Quite sure,” said Joan. “And if anybody needs a hous",Nabokov
" the statues.”In an annex to the courthouse, the police had staged an exhibition of crime. One respectable burgher, who suddenly, for no good reason, had dismembered a neighbor’s child, was found to have in his apartment an artificial woman. She could walk, wring her hands, and make water, and was now in that police museum. Impelled by professional anxiety, the Inventor wanted to take a look at her. They were led to her by a retired gendarme whom Dreyer bribed to make the mechanism work. The poor woman turned out to be rather crudely made, and the mysterious substance of which the papers had",Nabokov
" footboard where I had been cutting his nails and to unbury his comb which I had trampled into the ground but now decided to discard later. Next I accomplished something planned a long time ago: I had turned the car and stopped it on a bit of timbered ground slightly sloping down, roadward; I now rolled my little Icarus a few yards forward so as to make it visible in the morning from the highway, thus leading to the discovery of my corpse.Night came sweeping down rapidly. The drumming in my ears had all but died away. I plunged into the wood, repassing as I did so, not far from the body; but",Nabokov
" or meditation—but not Ardis, not Ada, for that would mean drowning in a cataract of worse wakefulness, with rage and regret, desire and despair sweeping me into an abyss where sheer physical extenuation stunned me at last with sleep.In the professional dreams that especially obsessed me when I worked on my earliest fiction, and pleaded abjectly with a very frail muse (“kneeling and wringing my hands” like the dusty-trousered Marmlad before his Marmlady in Dickens), I might see for example that I was correcting galley proofs but that somehow (the great “somehow” of dreams!) the book had alread",Nabokov
" catch American butterflies (soon I'll have to start using your sweater: fall is on the way). My position is maddeningly undecided, so far nothing has worked out, and the thought of winter is rather frightening, but, by comparison, it is a genuine paradise here. It was a torment to imagine your feelings, your poor mother's situation; one would like to know many more details. I feel so sad, so distressed for you. We recall all your gentle kindness, the delightful hours we spent together, and we talk so very often about you.My literary (or, rather, anti-literary) agent6—a short, fearsome, bandy",Nabokov
" Blushing furiously, the young policeman cupped a perspiring paw under the girl's grateful thighs, put another around her ribs and lightly lifted her heavenwards. One of her slippers fell off.'It's O.K.,' she said quickly, 'I can put my foot into your pocket. There. Lin will carry my slipper.''Say, you sure don't weigh much,' said Mac.'Now hold me tight,' she said. 'Hold me tight. And give me that flashlight, it's hurting me.'The little procession made its way downstairs. The place was still and dark. Krug walked in front, with a circle of light playing upon his bent bare head and brown dress",Nabokov
" the winter before ending in New York. Hobbies: fast cars, photography, pets.Quine, Dolores. Born in 1882, in Dayton, Ohio. Studied for stage at American Academy. First played in Ottawa in 1900. Made New York debut in 1904 in Never Talk to Strangers. Has disappeared since in [a list of some thirty plays follows].How the look of my dear love’s name even affixed to some old hag of an actress, still makes me rock with helpless pain! Perhaps, she might have been an actress too. Born 1935. Appeared (I notice the slip of my pen in the preceding paragraph, but please do not correct it, Clarence) in T",Nabokov
" more so as the acting will go on and on, endlessly; never, never, never, never, never will your soul in that other world be quite sure that the sweet gentle spirits crowding about it are not fiends in disguise, and forever, and forever, and forever shall your soul remain in doubt, expecting every moment some awful change, some diabolical sneer to disfigure the dear face bending over you.That is the reason why I am ready to accept all, come what may; the burly executioner in his top hat, and then the hollow hum of blank eternity; but I refuse to undergo the tortures of everlasting life, I do n",Nabokov
" Olympia! All rights except the English are mine, and mine only. Neither Olympia nor Girodias has any say in the matter. I am sure there is some mis take and would like you to make a note that all inquiries about translations should go to me.Incidentally, I am about to sell Lolita to Japan and to Israel, which practically spans the globe.Look up a very nice article by Richard Schickel in the November Progressive.2Yours cordially,Vladimir NabokovTO: FRANCIS E. MINEKA1CC, 2 pp.Ithaca, N.Y.December 7, 1958Dear Dean Mineka,I have been in touch with several friends at different universities and ",Nabokov
" at 5 Peacock Street was exceptionally happy. Evgenia’s and Vanya’s father, who spent a large part of the year in London, sent them generous checks, and Khrushchov, too, made excellent money. This, however, was not the point: even had they been penniless, nothing would have changed. The sisters would have been enveloped in the same breeze of happiness, coming from an unknown direction but felt by even the gloomiest and thickest-skinned of visitors. It was as if they had started on a joyful journey: this top floor seemed to glide like an airship. One could not locate exactly the source of that",Nabokov
" “preparing her,” begged her not to be frightened, and told her practically the whole story right there, in the hallway. Sonia turned white as a sheet and sank down on one of the vestibule chairs. “But that’s awful,” she said softly. After a little pause, she slapped her knees and repeated in a still smaller voice: “That’s awful.” “Did he tell you anything? Do you have any information?” Zilanov kept asking her in Russian and German. Darwin stood rubbing his cheek, trying not to look at Sonia. He felt the most appalling thing a man of his race and set can feel: the urge to break into tears. “Of",Nabokov
" door shut somewhere. Frieda going to bed? Still listening intently, he kissed Martha, first on the hair, then on the lips. Her teeth were chattering. “Give me my shawl,” she said. He picked up the pink woolly shawl from a corner hassock. She consulted her watch.Franz got up abruptly. “I’m going home,” he said.“You are what?”“Going home. I have to get up much earlier than old secretaries and fat maids.”“You shall stay,” said Martha.He considered her, reflecting vaguely that there was something behind all this. But what?“You know what I have just remembered?” Martha said suddenly, as he plucked",Nabokov
" of War are minutely checking in regard to the correctness of uniforms and weapons. In the second place, the six main culprits will be executed by an inexperienced headsman in your presence. This is a sensational offer.'(Krug had been shown these persons in their death cells a few minutes before. The two dark pimply youths attended by a Catholic priest were putting on a brave show, due mainly to lack of imagination. Mariette sat with closed eyes, in a rigid faint, bleeding gently. Of the other three the less said the better.)'You will certainly appreciate,' said the walnut and fudge voice, 't",Nabokov
" and a thrill of surprise, that the violence and the sweetness of my nightly joys were being raised to an exquisite vertex owing to a certain aberration which, I understand, is not as uncommon as I thought at first among high-strung men in their middle thirties. I am referring to a well-known kind of “dissociation.” With me it started in fragmentary fashion a few months before my trip to Prague. For example, I would be in bed with Lydia, winding up the brief series of preparatory caresses she was supposed to be entitled to, when all at once I would become aware that imp Split had taken o",Nabokov
" (and some I have written in the past—you actually published one with such an ""inside""—the one about the old Jewish couple and their sick boy)2 will be composed on these lines, according to this system wherein a second (main) story is woven into, or placed behind, the superficial semitransparent one. I am really very disappointed that you, such a subtle and loving reader, should not have seen the inner scheme of my story. I do not mean the acrostic—but the coincidence of Cynthia's spirit with the atmosphere of the beginning of the story. When some day you re-read it, I want you to notice",Nabokov
